,Crop,Soil,Temperature,Soil_Texture,Soil_Colour,Drainage,Water_holding_capacity,Sunlight,Yield
33,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
34,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
35,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
36,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
37,Potato,Red,36,Sandy,Red,High,Low,hgh,Average
38,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
39,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
40,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
41,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
42,Potato,Red,37,Sandy,Red,High,Low,hgh,Average
43,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
44,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
45,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
46,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
47,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
48,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
49,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
50,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
51,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
52,Potato,Red,32,Sandy,Red,High,Low,hgh,Average
53,Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
54,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
55,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
56,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
57,Potato,Red,32,Sandy,Red,High,Low,hgh,Average
58,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
59,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
60,Chilli,Red,32,Sandy,Red,High,Low,hgh,Poor
61,Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
62,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
63,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
64,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
65,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
66,Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
67,Potato,Red,32,Sandy,Red,High,Low,hgh,Average
68,Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
69,Tomato,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
70,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
71,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
72,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
73,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
74,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
75,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
76,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
77,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
78,Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
79,Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
80,Chilli,Red,32,Sandy,Red,High,Low,hgh,Poor
81,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
82,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
83,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
84,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
85,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
86,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
87,Potato,Red,32,Sandy,Red,High,Low,hgh,Average
88,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
89,Tomato,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
90,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
91,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
92,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
93,Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
94,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
95,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
96,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
97,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
98,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
99,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
100,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
101,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
102,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
103,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
104,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
105,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
106,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
107,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
108,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
109,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
110,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
111,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
112,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
113,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
114,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
115,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
116,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
117,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
118,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
119,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
120,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
121,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
122,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
123,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
124,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
125,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
126,Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
127,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
128,Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
129,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
130,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
131,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
132,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
133,Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
134,Tomato,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
135,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
136,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
137,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
138,Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
139,Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
140,Chilli,Red,32,Sandy,Red,High,Low,hgh,Poor
141,Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
142,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
143,Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
144,Tomato,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
145,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
146,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
147,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
148,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
149,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
150,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
151,Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
152,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
153,Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
154,Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
155,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
156,Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
157,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
158,Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
159,Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
160,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
161,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
162,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
163,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
164,Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
165,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
166,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
167,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
168,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
169,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
170,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
171,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
172,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
173,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
174,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
175,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
176,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
177,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
178,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
179,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
180,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
181,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
182,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
183,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
184,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
185,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
186,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
187,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
188,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
189,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
190,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
191,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
192,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
193,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
194,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
195,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
196,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
197,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
198,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
199,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
200,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
201,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
202,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
203,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
204,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
205,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
206,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
207,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
208,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
209,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
210,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
211,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
212,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
213,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
214,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
215,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
216,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
217,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
218,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
219,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
220,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
221,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
222,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
223,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
224,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
225,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
226,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
227,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
228,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
229,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
230,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
231,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
232,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
233,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
234,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
235,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
236,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
237,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
238,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
239,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
240,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
241,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
242,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
243,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
244,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
245,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
246,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
247,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
248,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
249,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
250,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
251,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
252,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
253,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
254,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
255,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
256,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
257,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
258,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
259,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
260,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
261,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
262,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
263,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
264,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
265,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
266,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
267,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
268,Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
269,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
270,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
271,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
272,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
273,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
274,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
275,Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
276,Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
277,Potato,Red,38,Sandy,Red,High,Low,hgh,Average
278,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
279,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
280,Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
281,Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
282,Potato,Red,38,Sandy,Red,High,Low,hgh,Average
283,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
284,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
285,Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
286,Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
287,Potato,Red,37,Sandy,Red,High,Low,hgh,Average
288,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
289,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
290,Chilli,Red,38,Sandy,Red,High,Low,hgh,Poor
291,Tomato,Red,38,Sandy,Red,High,Low,hgh,Good
292,Potato,Red,38,Sandy,Red,High,Low,hgh,Average
293,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
294,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
295,Chilli,Red,38,Sandy,Red,High,Low,hgh,Poor
296,Tomato,Red,38,Sandy,Red,High,Low,hgh,Good
297,Potato,Red,38,Sandy,Red,High,Low,hgh,Average
298,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
299,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
300,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
301,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
302,Potato,Red,37,Sandy,Red,High,Low,hgh,Average
303,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
304,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
305,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
306,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
307,Potato,Red,36,Sandy,Red,High,Low,hgh,Average
308,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
309,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
310,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
311,Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
312,Potato,Red,37,Sandy,Red,High,Low,hgh,Average
313,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
314,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
315,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
316,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
317,Potato,Red,37,Sandy,Red,High,Low,hgh,Average
318,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
319,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
320,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
321,Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
322,Potato,Red,36,Sandy,Red,High,Low,hgh,Average
323,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
324,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
325,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
326,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
327,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
328,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
329,Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
330,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
331,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
332,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
333,Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
334,Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
335,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
336,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
337,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
338,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
339,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
340,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
341,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
342,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
343,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
344,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
345,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
346,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
347,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
348,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
349,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
350,Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
351,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
352,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
353,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
354,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
355,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
356,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
357,Potato,Red,34,Sandy,Red,High,Low,hgh,Average
358,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
359,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
360,Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
361,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
362,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
363,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
364,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
365,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
366,Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
367,Potato,Red,33,Sandy,Red,High,Low,hgh,Average
368,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
369,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
370,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
371,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
372,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
373,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
374,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
375,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
376,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
377,Potato,Red,37,Sandy,Red,High,Low,hgh,Average
378,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
379,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
380,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
381,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
382,Potato,Red,36,Sandy,Red,High,Low,hgh,Average
383,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
384,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
385,Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
386,Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
387,Potato,Red,36,Sandy,Red,High,Low,hgh,Average
388,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
389,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
390,Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
391,Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
392,Potato,Red,37,Sandy,Red,High,Low,hgh,Average
393,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
394,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
395,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
396,Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
397,Potato,Red,37,Sandy,Red,High,Low,hgh,Average
398,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
