Crop,Soil,Temperature,Soil Texture,Soil Colour,Drainage,Water holding capacity,Sunlight,Yield
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,36,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,32,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,32,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,32,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
Potato,Red,32,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,32,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,32,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,32,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,32,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
Potato,Red,38,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
Potato,Red,38,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,38,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,38,Sandy,Red,High,Low,hgh,Good
Potato,Red,38,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,38,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,38,Sandy,Red,High,Low,hgh,Good
Potato,Red,38,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,36,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
Potato,Red,36,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,35,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,34,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,33,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,33,Sandy,Red,High,Low,hgh,Good
Potato,Red,33,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
Potato,Red,35,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,36,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
Potato,Red,36,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,36,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,37,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,37,Sandy,Red,High,Low,hgh,Good
Potato,Red,37,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,36,Sandy,Red,High,Low,hgh,Good
Potato,Red,36,Sandy,Red,High,Low,hgh,Average
